CUERPO,PROVINCIA,LOCALIDAD,CENTRO,PUESTO,PLA,Nombre,Apellido1,Apellido2,sexo,edad
,,,FILA_VACIA_CON_COMAS,,,
MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597031-EDUCACIÓN INFANTIL,1,Miriam,Amador,Montes,Hombre,27
NULL,NULL,NULL,NULL. NULL,NULL,NULL,NULL,NULL,NULL,NULL
MAESTROS,ALMERÍA,NULL,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597031-EDUCACIÓN INFANTIL,1,NULL,Iglesias,Campos,Mujer,NULL
MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597032-LENGUA EXTRANJERA-INGLÉS,1,Irene,Ortega,Acosta,Hombre,52
MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597033-LENGUA EXTRANJERA-FRANCÉS,1,Pilar,Moreno,Portillo,Hombre,54
MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597034-EDUCACIÓN FÍSICA,1,David,Mesa,Méndez,Hombre,48
MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597035-MÚSICA,1,Irene,Silva,Cruz,Hombre,32
MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597036-PEDAGOGÍA TERAPÉUTICA,1,Alba,Martín,Pascual,Mujer,53
MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597038-EDUCACIÓN PRIMARIA,1,Mateo,Romero,Carretero,Hombre,57
MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597038-EDUCACIÓN PRIMARIA,1,Yolanda,Vera,Espejo,Mujer,54
MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597038-EDUCACIÓN PRIMARIA,1,Simón,Diez,Cabello,Hombre,38
MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597031-EDUCACIÓN INFANTIL,1,Juan,Morales,Silva,Hombre,45
MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597031-EDUCACIÓN INFANTIL,1,Julián,Esteban,Vera,Hombre,51
MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597032-LENGUA EXTRANJERA-INGLÉS,1,Samuel,Barroso,Cebrián,Hombre,48
